datum,zeny_od,muzi_od,muzi_do,zeny_do,zeny_cnt,muzi_cnt,check_cnt,gender_ratio,snemovna
1992-06-06,20.0,180.0,0.0,0.0,20.0,180.0,200.0,10.0,1992
1993-11-09,0.0,0.0,0.0,1.0,19.0,180.0,199.0,9.547738693467336,1992
1993-11-11,0.0,1.0,0.0,0.0,19.0,181.0,200.0,9.5,1992
1995-05-23,0.0,0.0,1.0,0.0,19.0,180.0,199.0,9.547738693467336,1992
1995-05-25,0.0,1.0,0.0,0.0,19.0,181.0,200.0,9.5,1992
1996-04-29,0.0,0.0,1.0,0.0,19.0,180.0,199.0,9.547738693467336,1992
1996-04-30,0.0,1.0,0.0,0.0,19.0,181.0,200.0,9.5,1992
1996-05-06,0.0,0.0,1.0,0.0,19.0,180.0,199.0,9.547738693467336,1992
1996-05-07,1.0,0.0,0.0,0.0,20.0,180.0,200.0,10.0,1992
1996-06-05,,,,,20.0,180.0,200.0,10.0,1992
1996-06-06,0.0,0.0,180.0,20.0,0.0,0.0,0.0,,1992
1996-06-01,30.0,170.0,0.0,0.0,30.0,170.0,200.0,15.0,1996
1996-11-01,0.0,0.0,1.0,0.0,30.0,169.0,199.0,15.075376884422111,1996
1996-11-02,0.0,1.0,0.0,0.0,30.0,170.0,200.0,15.0,1996
1996-12-17,0.0,0.0,1.0,1.0,29.0,169.0,198.0,14.646464646464647,1996
1996-12-18,0.0,2.0,0.0,0.0,29.0,171.0,200.0,14.5,1996
1997-01-16,0.0,0.0,1.0,0.0,29.0,170.0,199.0,14.57286432160804,1996
1997-01-17,0.0,1.0,0.0,0.0,29.0,171.0,200.0,14.5,1996
1997-06-02,0.0,0.0,1.0,0.0,29.0,170.0,199.0,14.57286432160804,1996
1997-06-03,0.0,1.0,0.0,0.0,29.0,171.0,200.0,14.5,1996
1997-06-11,0.0,0.0,1.0,0.0,29.0,170.0,199.0,14.57286432160804,1996
1997-06-12,0.0,1.0,0.0,0.0,29.0,171.0,200.0,14.5,1996
1997-08-27,0.0,0.0,1.0,0.0,29.0,170.0,199.0,14.57286432160804,1996
1997-08-28,0.0,1.0,0.0,0.0,29.0,171.0,200.0,14.5,1996
1997-08-29,0.0,0.0,1.0,0.0,29.0,170.0,199.0,14.57286432160804,1996
1997-08-30,0.0,1.0,0.0,0.0,29.0,171.0,200.0,14.5,1996
1997-11-11,0.0,0.0,1.0,0.0,29.0,170.0,199.0,14.57286432160804,1996
1997-11-12,0.0,1.0,0.0,0.0,29.0,171.0,200.0,14.5,1996
1997-12-01,0.0,0.0,1.0,0.0,29.0,170.0,199.0,14.57286432160804,1996
1997-12-02,1.0,0.0,1.0,0.0,30.0,169.0,199.0,15.075376884422111,1996
1997-12-03,0.0,1.0,0.0,0.0,30.0,170.0,200.0,15.0,1996
1998-01-26,0.0,0.0,1.0,0.0,30.0,169.0,199.0,15.075376884422111,1996
1998-01-27,0.0,1.0,0.0,0.0,30.0,170.0,200.0,15.0,1996
1998-02-12,0.0,0.0,1.0,0.0,30.0,169.0,199.0,15.075376884422111,1996
1998-02-13,0.0,1.0,0.0,0.0,30.0,170.0,200.0,15.0,1996
1998-02-25,0.0,0.0,1.0,0.0,30.0,169.0,199.0,15.075376884422111,1996
1998-02-26,0.0,1.0,0.0,0.0,30.0,170.0,200.0,15.0,1996
1998-06-18,,,,,30.0,170.0,200.0,15.0,1996
1998-06-19,0.0,0.0,170.0,30.0,0.0,0.0,0.0,,1996
1998-06-20,30.0,170.0,0.0,0.0,30.0,170.0,200.0,15.0,1998
1999-11-22,0.0,1.0,1.0,0.0,30.0,170.0,200.0,15.0,1998
2000-09-14,1.0,0.0,1.0,0.0,31.0,169.0,200.0,15.5,1998
2001-02-28,0.0,0.0,2.0,0.0,31.0,167.0,198.0,15.656565656565656,1998
2001-03-01,1.0,1.0,0.0,0.0,32.0,168.0,200.0,16.0,1998
2001-07-31,0.0,1.0,1.0,0.0,32.0,168.0,200.0,16.0,1998
2001-10-31,0.0,1.0,1.0,0.0,32.0,168.0,200.0,16.0,1998
2002-06-19,,,,,32.0,168.0,200.0,16.0,1998
2002-06-20,0.0,0.0,168.0,32.0,0.0,0.0,0.0,,1998
2002-06-15,34.0,166.0,0.0,0.0,34.0,166.0,200.0,17.0,2002
2002-09-18,0.0,1.0,1.0,0.0,34.0,166.0,200.0,17.0,2002
2003-03-07,0.0,1.0,1.0,0.0,34.0,166.0,200.0,17.0,2002
2003-04-23,0.0,1.0,1.0,0.0,34.0,166.0,200.0,17.0,2002
2003-06-02,0.0,1.0,1.0,0.0,34.0,166.0,200.0,17.0,2002
2003-06-06,0.0,1.0,1.0,0.0,34.0,166.0,200.0,17.0,2002
2003-07-26,0.0,1.0,1.0,0.0,34.0,166.0,200.0,17.0,2002
2003-09-23,0.0,1.0,0.0,1.0,33.0,167.0,200.0,16.5,2002
2004-05-05,0.0,1.0,1.0,0.0,33.0,167.0,200.0,16.5,2002
2004-07-08,0.0,1.0,1.0,0.0,33.0,167.0,200.0,16.5,2002
2004-07-20,0.0,9.0,9.0,0.0,33.0,167.0,200.0,16.5,2002
2004-08-31,0.0,1.0,1.0,0.0,33.0,167.0,200.0,16.5,2002
2004-09-21,1.0,1.0,1.0,1.0,33.0,167.0,200.0,16.5,2002
2004-09-22,0.0,1.0,1.0,0.0,33.0,167.0,200.0,16.5,2002
2004-09-24,0.0,2.0,1.0,1.0,32.0,168.0,200.0,16.0,2002
2004-09-30,0.0,1.0,1.0,0.0,32.0,168.0,200.0,16.0,2002
2004-10-07,0.0,1.0,1.0,0.0,32.0,168.0,200.0,16.0,2002
2005-06-09,0.0,1.0,0.0,1.0,31.0,169.0,200.0,15.5,2002
2005-07-24,1.0,0.0,1.0,0.0,32.0,168.0,200.0,16.0,2002
2005-12-02,0.0,1.0,1.0,0.0,32.0,168.0,200.0,16.0,2002
2005-12-09,0.0,2.0,1.0,1.0,31.0,169.0,200.0,15.5,2002
2006-01-17,0.0,1.0,1.0,0.0,31.0,169.0,200.0,15.5,2002
2006-01-20,1.0,0.0,1.0,0.0,32.0,168.0,200.0,16.0,2002
2006-01-24,0.0,1.0,1.0,0.0,32.0,168.0,200.0,16.0,2002
2006-02-28,0.0,1.0,1.0,0.0,32.0,168.0,200.0,16.0,2002
2006-04-18,2.0,0.0,1.0,1.0,33.0,167.0,200.0,16.5,2002
2006-06-14,,,,,33.0,167.0,200.0,16.5,2002
2006-06-15,0.0,0.0,167.0,33.0,0.0,0.0,0.0,,2002
2006-06-03,31.0,169.0,0.0,0.0,31.0,169.0,200.0,15.5,2006
2007-01-16,0.0,1.0,1.0,0.0,31.0,169.0,200.0,15.5,2006
2008-09-17,0.0,1.0,1.0,0.0,31.0,169.0,200.0,15.5,2006
2008-10-25,1.0,3.0,3.0,1.0,31.0,169.0,200.0,15.5,2006
2008-11-13,1.0,0.0,1.0,0.0,32.0,168.0,200.0,16.0,2006
2008-12-11,1.0,0.0,1.0,0.0,33.0,167.0,200.0,16.5,2006
2009-03-01,2.0,1.0,3.0,0.0,35.0,165.0,200.0,17.5,2006
2009-04-30,0.0,1.0,1.0,0.0,35.0,165.0,200.0,17.5,2006
2009-07-03,0.0,1.0,0.0,1.0,34.0,166.0,200.0,17.0,2006
