datum,zeny_pct,muzi_pct,zeny_cnt,muzi_cnt,snemovna
1992-06-06,10.0,90.0,20,180,1992
1993-11-09,9.547738693467336,90.45226130653266,19,180,1992
1993-11-11,9.5,90.5,19,181,1992
1995-05-23,9.547738693467336,90.45226130653266,19,180,1992
1995-05-25,9.5,90.5,19,181,1992
1996-04-29,9.547738693467336,90.45226130653266,19,180,1992
1996-04-30,9.5,90.5,19,181,1992
1996-05-06,9.547738693467336,90.45226130653266,19,180,1992
1996-05-07,10.0,90.0,20,180,1992
1996-06-01,10.0,90.0,20,180,1992
1996-06-01,15.0,85.0,30,170,1996
1996-11-01,15.075376884422111,84.92462311557789,30,169,1996
1996-11-02,15.0,85.0,30,170,1996
1996-12-17,14.646464646464647,85.35353535353535,29,169,1996
1996-12-18,14.5,85.5,29,171,1996
1997-01-16,14.57286432160804,85.42713567839196,29,170,1996
1997-01-17,14.5,85.5,29,171,1996
1997-06-02,14.57286432160804,85.42713567839196,29,170,1996
1997-06-03,14.5,85.5,29,171,1996
1997-06-11,14.57286432160804,85.42713567839196,29,170,1996
1997-06-12,14.5,85.5,29,171,1996
1997-08-27,14.57286432160804,85.42713567839196,29,170,1996
1997-08-28,14.5,85.5,29,171,1996
1997-08-29,14.57286432160804,85.42713567839196,29,170,1996
1997-08-30,14.5,85.5,29,171,1996
1997-11-11,14.57286432160804,85.42713567839196,29,170,1996
1997-11-12,14.5,85.5,29,171,1996
1997-12-01,14.57286432160804,85.42713567839196,29,170,1996
1997-12-02,15.075376884422111,84.92462311557789,30,169,1996
1997-12-03,15.0,85.0,30,170,1996
1998-01-26,15.075376884422111,84.92462311557789,30,169,1996
1998-01-27,15.0,85.0,30,170,1996
1998-02-12,15.075376884422111,84.92462311557789,30,169,1996
1998-02-13,15.0,85.0,30,170,1996
1998-02-25,15.075376884422111,84.92462311557789,30,169,1996
1998-02-26,15.0,85.0,30,170,1996
1998-06-19,15.0,85.0,30,170,1996
1998-06-20,15.0,85.0,30,170,1998
1999-11-22,15.0,85.0,30,170,1998
2000-09-14,15.5,84.5,31,169,1998
2001-02-28,15.656565656565656,84.34343434343434,31,167,1998
2001-03-01,16.0,84.0,32,168,1998
2001-07-31,16.0,84.0,32,168,1998
2001-10-31,16.0,84.0,32,168,1998
2002-06-15,16.0,84.0,32,168,1998
2002-06-15,17.0,83.0,34,166,2002
2002-09-18,17.0,83.0,34,166,2002
2003-03-07,17.0,83.0,34,166,2002
2003-04-23,17.0,83.0,34,166,2002
2003-06-02,17.0,83.0,34,166,2002
2003-06-06,17.0,83.0,34,166,2002
2003-07-26,17.0,83.0,34,166,2002
2003-09-23,16.5,83.5,33,167,2002
2004-05-05,16.5,83.5,33,167,2002
2004-07-08,16.5,83.5,33,167,2002
2004-07-20,16.5,83.5,33,167,2002
2004-08-31,16.5,83.5,33,167,2002
2004-09-21,16.5,83.5,33,167,2002
2004-09-22,16.5,83.5,33,167,2002
2004-09-24,16.0,84.0,32,168,2002
2004-09-30,16.0,84.0,32,168,2002
2004-10-07,16.0,84.0,32,168,2002
2005-06-09,15.5,84.5,31,169,2002
2005-07-24,16.0,84.0,32,168,2002
2005-12-02,16.0,84.0,32,168,2002
2005-12-09,15.5,84.5,31,169,2002
2006-01-17,15.5,84.5,31,169,2002
2006-01-20,16.0,84.0,32,168,2002
2006-01-24,16.0,84.0,32,168,2002
2006-02-28,16.0,84.0,32,168,2002
2006-04-18,16.5,83.5,33,167,2002
2006-06-03,16.5,83.5,33,167,2002
2006-06-03,15.5,84.5,31,169,2006
2007-01-16,15.5,84.5,31,169,2006
2008-09-17,15.5,84.5,31,169,2006
2008-10-25,15.5,84.5,31,169,2006
2008-11-13,16.0,84.0,32,168,2006
2008-12-11,16.5,83.5,33,167,2006
2009-03-01,17.5,82.5,35,165,2006
2009-04-30,17.5,82.5,35,165,2006
2009-07-03,17.0,83.0,34,166,2006
2009-07-09,17.0,83.0,34,166,2006
2009-07-13,17.5,82.5,35,165,2006
2009-09-15,18.0,82.0,36,164,2006
2009-09-29,18.0,82.0,36,164,2006
2009-12-11,18.0,82.0,36,164,2006
2010-03-01,18.0,82.0,36,164,2006
2010-04-30,19.0,81.0,38,162,2006
2010-05-26,18.5,81.5,37,163,2006
2010-05-29,18.5,81.5,37,163,2006
2010-05-29,22.0,78.0,44,156,2010
2010-10-23,22.5,77.5,45,155,2010
2010-11-30,22.0,78.0,44,156,2010
2011-03-01,22.0,78.0,44,156,2010
2011-03-25,22.0,78.0,44,156,2010
2011-03-26,22.0,78.0,44,156,2010
2012-02-07,22.0,78.0,44,156,2010
2012-10-20,21.5,78.5,43,157,2010
2012-11-07,21.5,78.5,43,157,2010
2013-01-31,21.5,78.5,43,157,2010
2013-04-05,22.0,78.0,44,156,2010
2013-04-11,21.5,78.5,43,157,2010
2013-04-24,21.5,78.5,43,157,2010
2013-06-14,21.5,78.5,43,157,2010
2013-08-28,21.5,78.5,43,157,2010
2013-10-26,19.5,80.5,39,161,2013
2013-11-27,19.5,80.5,39,161,2013
2013-12-03,19.5,80.5,39,161,2013
2014-03-31,20.0,80.0,40,160,2013
2014-04-30,20.0,80.0,40,160,2013
2014-06-20,20.0,80.0,40,160,2013
2014-07-01,19.5,80.5,39,161,2013
2014-08-28,19.5,80.5,39,161,2013
2014-10-21,19.5,80.5,39,161,2013
2014-12-08,20.0,80.0,40,160,2013
2016-01-14,20.5,79.5,41,159,2013
2017-01-03,20.0,80.0,40,160,2013
2017-03-14,20.0,80.0,40,160,2013
2017-06-09,20.0,80.0,40,160,2013
2017-07-01,20.5,79.5,41,159,2013
2017-10-21,20.5,79.5,41,159,2013
2017-10-21,22.0,78.0,44,156,2017
2017-11-24,22.0,78.0,44,156,2017
2018-03-31,22.0,78.0,44,156,2017
2018-06-19,22.5,77.5,45,155,2017
2018-10-01,22.5,77.5,45,155,2017
2018-12-04,23.0,77.0,46,154,2017
2019-04-14,23.0,77.0,46,154,2017
2019-04-15,23.5,76.5,47,153,2017
2019-06-06,23.5,76.5,47,153,2017
2019-07-02,22.5,77.5,45,155,2017
2020-07-31,23.0,77.0,46,154,2017
2020-10-10,22.5,77.5,45,155,2017
2020-12-31,23.0,77.0,46,154,2017
2021-01-19,23.0,77.0,46,154,2017
2021-01-26,23.0,77.0,46,154,2017
2021-03-01,22.5,77.5,45,155,2017
2021-03-09,22.5,77.5,45,155,2017
2021-05-31,23.0,77.0,46,154,2017
2021-09-17,23.0,77.0,46,154,2017
2021-10-09,23.0,77.0,46,154,2017
2021-10-09,25.0,75.0,50,150,2021
2021-11-10,25.5,74.5,51,149,2021
2021-12-25,25.5,74.5,51,149,2021
